test_case,predicted_probability,priority_score,risk_level,top_features
tc_conf_ptp-oc_mhg_015,0.9998047,17.99648416042328,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9998047,17.99648416042328,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.99980456,17.996482014656067,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.99980456,17.996482014656067,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.99980456,17.996482014656067,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980444,17.996479868888855,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.99980384,17.996469140052795,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.99980384,17.996469140052795,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
tc_conf_udp_hvg_002,0.99983156,17.996468123482764,HIGH,failure_rate:0.431;time_since_last_failure:0.001
tc_conf_udp_hvg_002,0.99983156,17.996468123482764,HIGH,failure_rate:0.431;time_since_last_failure:0.001
tc_conf_ptp-oc_mfg_014,0.9998031,17.996456265449524,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980277,17.996449828147888,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980277,17.996449828147888,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.99980265,17.996447682380676,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980253,17.996445536613464,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_mtg_006,0.99980253,17.996445536613464,HIGH,failure_rate:0.8235;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980193,17.996434807777405,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.99980193,17.996434807777405,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980193,17.996434807777405,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980193,17.996434807777405,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980193,17.996434807777405,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980193,17.996434807777405,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_015,0.99980193,17.996434807777405,HIGH,failure_rate:0.8636;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_015,0.9998017,17.99643051624298,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_017,0.9998017,17.99643051624298,HIGH,failure_rate:0.92;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_005,0.9998017,17.99643051624298,HIGH,failure_rate:0.8824;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_005,0.9998017,17.99643051624298,HIGH,failure_rate:0.8824;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_015,0.9998017,17.99643051624298,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_017,0.9998017,17.99643051624298,HIGH,failure_rate:0.92;time_since_last_failure:0.0
tc_conf_ptp-bc_mfg_015,0.9998017,17.99643051624298,HIGH,failure_rate:0.7273;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99980146,17.996426224708557,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_012,0.999801,17.99641764163971,HIGH,failure_rate:0.4583;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_001,0.99980086,17.996415495872498,HIGH,failure_rate:0.8148;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980086,17.996415495872498,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980026,17.996404767036438,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_002,0.99980026,17.996404767036438,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_018,0.9997999,17.996398329734802,HIGH,failure_rate:0.3913;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_018,0.9997999,17.996398329734802,HIGH,failure_rate:0.3913;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_004,0.99979967,17.99639403820038,HIGH,failure_rate:0.4615;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979955,17.996391892433167,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979955,17.996391892433167,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979955,17.996391892433167,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979955,17.996391892433167,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_007,0.9997993,17.996387600898743,HIGH,failure_rate:0.3571;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.9997992,17.99638545513153,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.9997992,17.99638545513153,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.9997992,17.99638545513153,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.9997992,17.99638545513153,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.9997992,17.99638545513153,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.9997992,17.99638545513153,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.9997992,17.99638545513153,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.9997987,17.996376872062683,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_002,0.9997987,17.996376872062683,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_013,0.9997987,17.996376872062683,HIGH,failure_rate:0.6522;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_002,0.9997987,17.996376872062683,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_016,0.9997985,17.99637258052826,HIGH,failure_rate:0.3478;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_011,0.9997985,17.99637258052826,HIGH,failure_rate:0.3478;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_011,0.9997985,17.99637258052826,HIGH,failure_rate:0.3478;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.9997981,17.996366143226624,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_012,0.9997981,17.996366143226624,HIGH,failure_rate:0.4583;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.9997981,17.996366143226624,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.9997981,17.996366143226624,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.9997981,17.996366143226624,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.9997981,17.996366143226624,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.9997981,17.996366143226624,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.9997981,17.996366143226624,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_017,0.99979764,17.996357560157776,HIGH,failure_rate:0.7308;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_018,0.99979764,17.996357560157776,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_015,0.9997975,17.996355414390564,HIGH,failure_rate:0.8636;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_006,0.9997975,17.996355414390564,HIGH,failure_rate:0.6667;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.9997975,17.996355414390564,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_006,0.9997975,17.996355414390564,HIGH,failure_rate:0.6667;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_005,0.9997974,17.996353268623352,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.99979717,17.996348977088928,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.99979717,17.996348977088928,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_udp_hvg_003,0.9998522,17.99633942980441,HIGH,failure_rate:0.5185;time_since_last_failure:0.002
tc_conf_ptp-oc_pcg_018,0.99979645,17.996336102485657,HIGH,failure_rate:0.3913;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_016,0.9997962,17.996331810951233,HIGH,failure_rate:0.3478;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_014,0.99979573,17.996323227882385,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_004,0.9997956,17.996321082115173,HIGH,failure_rate:0.4615;time_since_last_failure:0.0
tc_conf_udp_hvg_003,0.9998233,17.996318996803993,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_udp_hvg_003,0.9998233,17.996318996803993,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_ptp-tc_pcg_001,0.9997954,17.99631679058075,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_006,0.9997954,17.99631679058075,HIGH,failure_rate:0.3182;time_since_last_failure:0.0
tc_conf_sip_uag_003,0.9997954,17.99631679058075,HIGH,failure_rate:1.0;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979526,17.996314644813538,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_udp_hvg_003,0.99985075,17.99631368202833,HIGH,failure_rate:0.5185;time_since_last_failure:0.002
tc_conf_ptp-oc_smg_004,0.999795,17.996310353279114,HIGH,failure_rate:0.3667;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_006,0.999795,17.996310353279114,HIGH,failure_rate:0.6667;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_016,0.999795,17.996310353279114,HIGH,failure_rate:0.3478;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_006,0.9997949,17.996308207511902,HIGH,failure_rate:0.3182;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_005,0.9997949,17.996308207511902,HIGH,failure_rate:0.3182;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997944,17.996299624443054,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_001,0.9997944,17.996299624443054,HIGH,failure_rate:0.8148;time_since_last_failure:0.0
tc_conf_ptp-tc_mtg_006,0.9997944,17.996299624443054,HIGH,failure_rate:0.8235;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_006,0.9997944,17.996299624443054,HIGH,failure_rate:0.6667;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_001,0.9997944,17.996299624443054,HIGH,failure_rate:0.8148;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_006,0.9997944,17.996299624443054,HIGH,failure_rate:0.6667;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_017,0.9997938,17.996288895606995,HIGH,failure_rate:0.92;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979323,17.996278166770935,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_018,0.99979323,17.996278166770935,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-tc_mtg_006,0.99979323,17.996278166770935,HIGH,failure_rate:0.8235;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.99979323,17.996278166770935,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.99979323,17.996278166770935,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.99979323,17.996278166770935,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.99979323,17.996278166770935,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.99979323,17.996278166770935,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99979323,17.996278166770935,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_017,0.99979323,17.996278166770935,HIGH,failure_rate:0.7308;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.99979323,17.996278166770935,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99979323,17.996278166770935,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997931,17.996276021003723,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997931,17.996276021003723,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997931,17.996276021003723,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_004,0.99979275,17.996269583702087,HIGH,failure_rate:0.3667;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_009,0.99979204,17.996256709098816,HIGH,failure_rate:0.44;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_006,0.9997919,17.996254563331604,HIGH,failure_rate:0.3182;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_001,0.9997918,17.996252417564392,HIGH,failure_rate:0.3571;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997912,17.996241688728333,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99979097,17.99623739719391,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_002,0.99979,17.996220231056213,HIGH,failure_rate:0.7143;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.99979,17.996220231056213,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_015,0.9997899,17.996218085289,HIGH,failure_rate:0.2963;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_011,0.9997899,17.996218085289,HIGH,failure_rate:0.3043;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_014,0.9997898,17.99621593952179,HIGH,failure_rate:0.4074;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_010,0.9997898,17.99621593952179,HIGH,failure_rate:0.4286;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_010,0.9997898,17.99621593952179,HIGH,failure_rate:0.4286;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_002,0.9997887,17.996196627616882,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997887,17.996196627616882,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9997886,17.99619448184967,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_005,0.99978834,17.996190190315247,HIGH,failure_rate:0.8824;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.9997881,17.996185898780823,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_001,0.9997881,17.996185898780823,HIGH,failure_rate:0.8148;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_013,0.99978787,17.9961816072464,HIGH,failure_rate:0.2963;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_010,0.99978787,17.9961816072464,HIGH,failure_rate:0.3158;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_015,0.99978787,17.9961816072464,HIGH,failure_rate:0.2963;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_012,0.99978775,17.996179461479187,HIGH,failure_rate:0.4583;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_012,0.99978775,17.996179461479187,HIGH,failure_rate:0.4583;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_012,0.99978775,17.996179461479187,HIGH,failure_rate:0.4583;time_since_last_failure:0.0
tc_conf_ptp-bc_mfg_013,0.99978775,17.996179461479187,HIGH,failure_rate:0.7273;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_003,0.9997869,17.996164441108704,HIGH,failure_rate:0.2857;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_003,0.9997869,17.996164441108704,HIGH,failure_rate:0.2857;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9997862,17.996151566505432,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9997862,17.996151566505432,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_013,0.9997862,17.996151566505432,HIGH,failure_rate:0.6522;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_018,0.9997861,17.99614942073822,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_013,0.99978524,17.996134400367737,HIGH,failure_rate:0.2963;time_since_last_failure:0.0
