timestamp,dut,test_case_id,status,error_message
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 13:48:43	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 13:54:19	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 19:04:12	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 19:42:38	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 19:52:11	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 20:10:34	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 20:11:26	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 20:51:02	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-10 16:59:56	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,1396,dtmf_check_ss,,*
,1397,dtmf_testing_mgw,,MTG200
1876-01-01,1397,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
,1397,dtmf_check_mgw,,*
,1398,dtmf_testing_mgw,,MTG200
,1398,drmf_atserisk_testing,,18.16.0
,1398,dtmf_mgw,,18.16.0
1877-01-01,1398,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
,1398,dtmf_check_mgw,,*
,1398,dtmf_check_pbx,,*
,1399,dtmf_testing_mgw,,MTG200
1834-01-01,1399,dtmf_test_mgw,,*
1835-01-01,1399,dtmf_pbx,,18.6.0
1864-01-01,1399,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
1865-01-01,1399,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
1866-01-01,1399,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
1867-01-01,1399,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
1868-01-01,1399,dtmf_test_mgw,,*
1869-01-01,1399,dtmf_test_mgw,,*
1870-01-01,1399,dtmf_test_mgw,,*
1871-01-01,1399,dtmf_test_mgw,,*
1872-01-01,1399,dtmf_test_mgw,,*
1873-01-01,1399,dtmf_test_mgw,,*
1874-01-01,1399,dtmf_test_mgw,,*
1875-01-01,1399,dtmf_mediagateway,,MTG200-1E1.2.06.21.06
,1399,dtmf_check_mgw,,*
,1399,dtmf_check_ss,,*
,1400,drmf_atserisk_testing,,18.16.0
1800-01-01,1400,dtmf_test,,*
1805-01-01,1400,dtmf_test,,*
1810-01-01,1400,dtmf_test,,*
1829-01-01,1400,dtmf_test,,*
1840-01-01,1400,dtmf_pbx,,18.6.0
1844-01-01,1400,dtmf_pbx,,18.6.0
,1400,dtmf_check_pbx,,*
,1401,dtmf_testing_kamailio,,5.3.9
1847-01-01,1401,dtmf_softswitch,,5.3.9
1848-01-01,1401,dtmf_softswitch,,5.3.9
1849-01-01,1401,dtmf_softswitch,,5.3.9
1850-01-01,1401,dtmf_softswitch,,5.3.9
1851-01-01,1401,dtmf_softswitch,,5.3.9
,1401,udp_check_pbx,,*
,1401,dtmf_check_ss,,*
,1401,dtmf_check_mgw,,*
,1401,dtmf_check_pbx,,*
,1402,dtmf_testing_kamailio,,5.3.9
1852-01-01,1402,dtmf_softswitch,,5.3.9
,1402,dtmf_check_ss,,*
,1403,dtmf_testing_kamailio,,5.3.9
1853-01-01,1403,dtmf_softswitch,,5.3.9
,1403,dtmf_check_ss,,*
,E bit,R bit,,
,1404,dtmf_check_mgw,,*
,1405,dtmf_testing_kamailio,,5.3.9
1854-01-01,1405,dtmf_softswitch,,5.3.9
,1405,dtmf_check_ss,,*
,1406,dtmf_mizu_pbx,,18.16.0
1855-01-01,1406,dtmf_softswitch,,5.3.9
,1407,drmf_atserisk_testing,,18.16.0
,1407,dtmf_mizu_pbx,,18.16.0
1801-01-01,1407,dtmf_test,,*
1806-01-01,1407,dtmf_test,,*
1811-01-01,1407,dtmf_test,,*
1841-01-01,1407,dtmf_pbx,,18.6.0
1845-01-01,1407,dtmf_pbx,,18.6.0
,1407,dtmf_check_pbx,,*
,1408,drmf_atserisk_testing,,18.16.0
,1408,dtmf_mizu_pbx,,18.16.0
1802-01-01,1408,dtmf_test,,*
1807-01-01,1408,dtmf_test,,*
1812-01-01,1408,dtmf_test,,*
